alt_start,alt_stop,area,area_1000,area_1000_log,ccode,country_age,democ,durable,elec_dem_vdem,elf,event_num,exist_tc,first_tc,first_tc_alt,first_tc_count,lmtnest,new_tc,new_tc_dummy,num_tc,sf,sf_onset,start,state_fail,state_name,stop,tc_persists_alt,tc_tally,unique_id,Devel,year,birth_type,rivals_thom,rivals_gd,hs_capacity,hrp_mean,hrp_sd,kills_mean,kills_median,ciri_disap,ciri_kill,ciri_polpris,ciri_tort,pts_amnesty,pts_state,pts_hrw,hath_tort,ucdp_low,ucdp_best,ucdp_high,polity,polity2,polity_democ,polity_autoc
0,1,400653,400.6530151,5.993095754,150,1,0,5,NA,0.131999999,1,0,0,0,1,0.741937339,0,0,0,0,0,0,0,Paraguay,1,0,0,150.1816,0,1816,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
1,2,400653,400.6530151,5.993095754,150,2,0,6,NA,0.131999999,1,0,0,0,2,0.741937339,0,0,0,0,0,1,0,Paraguay,2,0,0,150.1817,0,1817,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
2,3,400653,400.6530151,5.993095754,150,3,0,7,NA,0.131999999,1,0,0,0,3,0.741937339,0,0,0,0,0,2,0,Paraguay,3,0,0,150.1818,0,1818,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
3,4,400653,400.6530151,5.993095754,150,4,0,8,NA,0.131999999,1,0,0,0,4,0.741937339,0,0,0,0,0,3,0,Paraguay,4,0,0,150.1819,0,1819,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
4,5,400653,400.6530151,5.993095754,150,5,0,9,NA,0.131999999,1,0,0,0,5,0.741937339,0,0,0,0,0,4,0,Paraguay,5,0,0,150.182,0,1820,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
5,6,400653,400.6530151,5.993095754,150,6,0,10,NA,0.131999999,1,0,0,0,6,0.741937339,0,0,0,0,0,5,0,Paraguay,6,0,0,150.1821,0,1821,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
0,1,8523620,8523.620117,9.050596426,140,1,1,NA,0.106,0.549000025,1,0,0,0,1,1.4109869,0,0,0,0,0,0,0,Brazil,1,0,0,140.1822,0,1822,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,400653,400.6530151,5.993095754,150,7,0,11,NA,0.131999999,1,0,0,0,7,0.741937339,0,0,0,0,0,6,0,Paraguay,7,0,0,150.1822,0,1822,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
0,1,423504,423.5039978,6.048562954,89,1,5,0,NA,NA,1,0,0,0,1,3.763522863,0,0,0,0,0,0,0,UPofCentA,1,0,0,89.1823,NA,1823,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8523620,8523.620117,9.050596426,140,2,1,NA,0.158,0.549000025,1,0,0,0,2,1.4109869,0,0,0,0,0,1,0,Brazil,2,0,0,140.1823,0,1823,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,8,400653,400.6530151,5.993095754,150,8,0,12,NA,0.131999999,1,0,0,0,8,0.741937339,0,0,0,0,0,7,0,Paraguay,8,0,0,150.1823,0,1823,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
1,2,423504,423.5039978,6.048562954,89,2,5,0,NA,NA,1,0,0,0,2,3.763522863,0,0,0,0,0,1,0,UPofCentA,2,0,0,89.1824,NA,1824,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,3
2,3,8523620,8523.620117,9.050596426,140,3,1,0,NA,0.549000025,1,0,1,1,3,1.4109869,1,1,1,0,0,2,0,Brazil,3,0,1,140.1824,0,1824,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-6,1,7
8,9,400653,400.6530151,5.993095754,150,9,0,13,NA,0.131999999,1,0,0,0,9,0.741937339,0,0,0,0,0,8,0,Paraguay,9,0,0,150.1824,0,1824,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9
2,3,423504,423.5039978,6.048562954,89,3,5,1,NA,NA,1,0,0,0,3,3.763522863,0,0,0,0,0,2,0,UPofCentA,3,0,0,89.1825,NA,1825,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,3
3,4,8523620,8523.620117,9.050596426,140,4,1,1,NA,0.549000025,2,0,NA,1,NA,1.4109869,0,0,0,0,0,0,0,Brazil,1,0,1,140.1825,0,1825,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-6,1,7
